hero_id,source_hero_id,hero_name,role,shrunk_win_rate,pick_rate,kills_per_10,deaths_per_10,assists_per_10,sample_matches,confidence_label,confidence_interval_95,display_rank
rogue,rogue,Rogue,Vanguard,0.495,0.21,15.4,8.5,4.5,45139,very-high,0.005,27
angela,angela,Angela,Vanguard,0.494,0.12,13.5,8.1,2.1,26941,very-high,0.006,28
cloak-and-dagger,cloak-dagger,Cloak & Dagger,Strategist,0.492,0.47,13.0,5.6,23.0,102821,very-high,0.003,29
psylocke,psylocke,Psylocke,Duelist,0.489,0.13,17.5,7.6,0.5,27758,very-high,0.006,30
captain-america,captain-america,Captain America,Vanguard,0.489,0.13,12.7,8.3,2.3,27673,very-high,0.006,31
gambit,gambit,Gambit,Strategist,0.488,0.36,12.9,6.6,18.8,77327,very-high,0.004,32
star-lord,star-lord,Star-Lord,Duelist,0.487,0.14,17.9,8.5,0.6,29457,very-high,0.006,33
emma-frost,emma-frost,Emma Frost,Vanguard,0.487,0.32,16.9,6.9,4.4,69029,very-high,0.004,34
black-widow,black-widow,Black Widow,Duelist,0.487,0.21,18.9,7.4,3.2,45967,very-high,0.005,35
elsa-bloodstone,elsa-bloodstone,Elsa Bloodstone,Duelist,0.486,0.20,18.4,7.6,3.4,42422,very-high,0.005,36
adam-warlock,adam-warlock,Adam Warlock,Strategist,0.486,0.12,10.6,8.6,13.9,26698,very-high,0.006,37
luna-snow,luna-snow,Luna Snow,Strategist,0.486,0.41,13.4,6.5,16.4,89869,very-high,0.003,38
cyclops,cyclops,Cyclops,Duelist,0.485,0.39,21.9,7.2,4.0,83412,very-high,0.003,39
doctor-strange,doctor-strange,Doctor Strange,Vanguard,0.482,0.21,15.7,7.2,1.5,46303,very-high,0.005,40
namor,namor,Namor,Duelist,0.478,0.21,20.2,6.6,0.8,45361,very-high,0.005,41
deadpool-duelist,deadpool-duelist,Deadpool (Duelist),Duelist,0.476,0.09,16.2,8.8,0.3,20220,very-high,0.007,42
wolverine,wolverine,Wolverine,Duelist,0.476,0.09,13.8,9.2,1.7,18780,very-high,0.007,43
human-torch,human-torch,Human Torch,Duelist,0.474,0.08,16.9,8.4,1.1,18031,very-high,0.007,44
loki,loki,Loki,Strategist,0.474,0.16,12.3,6.6,17.2,33995,very-high,0.005,45
hawkeye,hawkeye,Hawkeye,Duelist,0.472,0.09,16.9,8.7,1.8,20564,very-high,0.007,46
invisible-woman,invisible-woman,Invisible Woman,Strategist,0.472,0.31,12.5,6.2,18.6,66946,very-high,0.004,47
the-punisher,the-punisher,The Punisher,Duelist,0.470,0.22,18.4,8.4,0.3,48519,very-high,0.004,48
jeff-the-land-shark,jeff-the-land-shark,Jeff The Land Shark,Strategist,0.470,0.34,15.4,7.3,20.6,73486,very-high,0.004,49
groot,groot,Groot,Vanguard,0.469,0.12,14.4,7.8,4.8,27068,very-high,0.006,50
deadpool-strategist,deadpool-strategist,Deadpool (Strategist),Strategist,0.469,0.18,13.5,7.1,15.6,38704,very-high,0.005,51
squirrel-girl,squirrel-girl,Squirrel Girl,Duelist,0.466,0.17,17.8,7.5,1.4,35949,very-high,0.005,52
deadpool-vanguard,deadpool-vanguard,Deadpool (Vanguard),Vanguard,0.463,0.15,14.4,7.7,2.0,32513,very-high,0.005,53
moon-knight,moon-knight,Moon Knight,Duelist,0.462,0.15,18.0,7.8,0.5,32956,very-high,0.005,54
phoenix,phoenix,Phoenix,Duelist,0.453,0.16,16.3,7.4,3.7,34527,very-high,0.005,55
